Theme,Sub Theme,Feature Name,x,y
Place Of Assembly,Library,The Melbourne Athenaeum Library, 144.967291289941,-37.8148855756416
Place of Worship,Church,St Francis Church,144.9624226,-37.81188478
Place of Worship,Church,Wesley Church,144.9681682,-37.81015764
Place of Worship,Church,St Augustines Church,144.954862,-37.81697414
Place of Worship,Church,St James Church,144.9524686,-37.81012812
Place of Worship,Church,St Mary's Anglican Church,144.9537615,-37.80316637
Place of Worship,Church,Romanian Orthodox,144.9669864,-37.80523073
Place of Worship,Church,Welsh Presbyterian Church,144.9598733,-37.81044788
Place of Worship,Church,Church of Christ,144.9638892,-37.81045241
Place of Worship,Church,Scots Church,144.9685511,-37.81456878
Place of Worship,Church,St Michael's Uniting Church,144.969174,-37.81438513
Place of Worship,Church,Greek Orthodox Church,144.9782591,-37.80880647
Place of Worship,Church,St Peter's Eastern Hill,144.9752592,-37.80970867
Place of Worship,Church,Lutheran Trinity Church,144.9757295,-37.81097571
Place of Worship,Church,Holy Trinity,144.9831973,-37.81406671
Place of Worship,Church,St Johns Lutheran Church,144.9671211,-37.82093997
Place of Worship,Church,North Melbourne Uniting,144.9476715,-37.80355385
Place of Worship,Church,Melbourne Unitarian Church,144.9846649,-37.81144878
Place of Worship,Church,All Nations Uniting Church,144.9689811,-37.79591553
Place of Worship,Church,Our Lady of Lebanon Church,144.9693347,-37.80257665
Place of Worship,Church,St Michaels,144.9453995,-37.79405127
Place of Worship,Church,Ukranian Catholic Cathedral,144.9443135,-37.79630846
Place of Worship,Church,St Alban Anglican Church,144.9416145,-37.79421695
Place of Worship,Church,Christ Church Kensington,144.9272957,-37.79321095
Place of Worship,Church,Holy Rosary,144.9283621,-37.79480874
Place of Worship,Church,Collins Street Baptist Church,144.9680725,-37.81470119
Place of Worship,Church,St Thomas Aquinas Church,144.9768091,-37.83530769
Place of Worship,Church,South Yarra Presbyterian Church,144.985627,-37.84074736
Place of Worship,Church,The Parish of Christ Church South Yarra,144.9860094,-37.83862705
Community Use,Visitor Centre,Melbourne Visitor Booth,144.9644259,-37.81395251
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,144.947581,-37.785786
Transport,Transport Terminal,Port of Melbourne,144.9175343,-37.81373844
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,144.9619678,-37.78408644
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,144.9619826,-37.78343039
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,144.9654639,-37.80776441
Place Of Assembly,Theatre Live,FairFax Studio,144.9688362,-37.82166846
Place Of Assembly,Theatre Live,Playhouse,144.9683378,-37.82181246
Place Of Assembly,Theatre Live,State Theatre,144.9684696,-37.82128063
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),144.9693325,-37.82411377
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,144.9811422,-37.83524295
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,144.912143,-37.79080826
Place Of Assembly,Theatre Live,Princess Theatre,144.9723266,-37.81072571
Place Of Assembly,Theatre Live,Regent Theatre,144.9679167,-37.81600147
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),144.9834029,-37.81949216
Zoo,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,144.9513712,-37.78444493
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,144.9543524,-37.82524551
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,144.9522883,-37.82490405
Place Of Assembly,Art Gallery/Museum,Polly Woodside,144.9534781,-37.82425743
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,144.9672529,-37.82660454
Place Of Assembly,Theatre Live,Malthouse Theatre,144.9669368,-37.8271768
Place of Worship,Church,St Patricks Cathedral,144.9759015,-37.8101141
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,144.9688373,-37.82199473
Casino,Casino,Crown Entertainment Complex,144.9573129,-37.82357611
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,144.969899,-37.81748314
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,144.9839701,-37.81886627
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,144.983803,-37.82472527
Transport,Marina,New Quay Marina,144.9422837,-37.81529255
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,144.943475,-37.81651773
Observation Tower/Wheel,Observation Tower/Wheel,Melbourne Star Observation Wheel,144.9375889,-37.81161637
Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,144.9484967,-37.82137443
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,144.9368337,-37.81169454
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,144.9784872,-37.82204561
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,144.9787358,-37.8209086
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,144.9775911,-37.82132521
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,144.9818348,-37.82311
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,144.9716907,-37.80355181
Place Of Assembly,Cinema,IMAX Melbourne,144.9706399,-37.80343156
Place Of Assembly,Theatre Live,MTC Theatre,144.9681744,-37.82426618
Place Of Assembly,Theatre Live,Hamer Hall,144.9679921,-37.8199901
Leisure/Recreation,Indoor Recreation Facility,Artplay,144.9715426,-37.81841988
Place Of Assembly,Art Gallery/Museum,National Sports Museum,144.9846698,-37.81895449
Leisure/Recreation,Indoor Recreation Facility,Icehouse,144.935684,-37.81218812
Place Of Assembly,Theatre Live,Athanaeum Theatre,144.9673225,-37.81495435
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,144.9156071,-37.79483753
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,144.9687501,-37.79765899
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,144.9108221,-37.78230979
Place Of Assembly,Theatre Live,Her Majesty's Theatre,144.9695202,-37.81099756
Place Of Assembly,Theatre Live,Comedy Theatre,144.9701331,-37.81020539
Place Of Assembly,Theatre Live,La Mama Theatre,144.9676695,-37.7991305
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,144.980555,-37.81454075
Education Centre,Tertiary (University),BIO 21 Institute,144.9537803,-37.79787433
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,144.95404,-37.82221828
Place Of Assembly,Art Gallery/Museum,Immigration Museum,144.9604268,-37.81917988
Place of Worship,Church,St Pauls Cathedral,144.9676816,-37.8169549
Place Of Assembly,Theatre Live,Forum Theatre,144.9693866,-37.81648541
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,144.9753737,-37.80857613
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,144.9641567,-37.79739396
Education Centre,Tertiary (University),University of Melbourne,144.9609952,-37.79828923
Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,144.9540279,-37.81338543
Education Centre,Tertiary (University),RMIT University,144.964453,-37.80807954
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),144.9432908,-37.799947
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,144.9716965,-37.7934377
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,144.9631898,-37.80715854
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,144.9794713,-37.81446049
Aquarium,Aquarium,Melbourne Aquarium,144.9584257,-37.82096278
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,144.9797203,-37.82424569
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,144.9715219,-37.80460262
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,144.9474963,-37.81617605
Observation Tower/Wheel,Observation Tower/Wheel,Eureka Skydeck 88,144.9646222,-37.82161876
Community Use,Visitor Centre,Melbourne Visitor Centre,144.9679371,-37.81773524
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),144.9690704,-37.81761073
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,144.9813834,-37.80973741
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,144.9692339,-37.81076861
